page,rank,num_outlinks,num_inlinks
PortalFood,0.010031671486164172,124,183
Human_cannibalism,0.006541570804398753,8,8
Algaculture,0.004845524776638895,6,6
Fish_marketing,0.004152837305679745,6,6
Seaweed,0.0027284637554682873,4,5
Shark_meat,0.0023074487620575387,4,4
Reality,0.0023074487620575387,4,4
Europe,0.0023074487620575387,4,4
Fat,0.0023074487620575387,5,4
Nothing,0.0023074487620575387,4,5
Matter,0.0023074487620575387,4,4
HelpMaintenance_template_removal,0.001457574350423201,10,11
HelpReferencing_for_beginners,0.001298794773835405,9,9
Anglo-Normans,0.0012489182514722333,3,3
Agatha_Moreira,0.0012489182514722333,3,3
A_Memoir_of_Jane_Austen,0.0012489182514722333,3,4
Abigail_Reynolds_(writer),0.0012489182514722333,3,3
Acipenseriformes,0.0012489182514722333,3,3
Aquaculture_in_Australia,0.0012489182514722333,3,4
Wild_fisheries,0.0012489182514722333,3,3
Anna_Austen_Lefroy,0.0012489182514722333,3,3
Anna_Quindlen,0.0012489182514722333,3,3
Antimicrobials_in_aquaculture,0.0012489182514722333,3,3
Antithesis,0.0012489182514722333,3,3
American_Book_Review,0.0012489182514722333,3,3
An_Assembly_Such_as_This,0.0012489182514722333,3,3
Anchovies_as_food,0.0012489182514722333,3,3
List_of_seafood_dishes,0.0012489182514722333,3,3
"Little,_Brown_Book_Group",0.0012489182514722333,3,3
London,0.0012489182514722333,3,4
Longbourn,0.0012489182514722333,3,3
Lord_Byron,0.0012489182514722333,3,4
World_Wide_Fund_for_Nature,0.0012489182514722333,3,4
Worldview,0.0012489182514722333,3,3
Worshipful_Company_of_Fishmongers,0.0012489182514722333,3,4
Lost_television_broadcast,0.0012489182514722333,3,4
"Love,_Lies_and_Lizzie",0.0012489182514722333,3,4
Love_and_Freindship,0.0012489182514722333,3,3
Lox,0.0012489182514722333,3,3
M-theory,0.0012489182514722333,3,3
Mackerel_as_food,0.0012489182514722333,3,3
List_of_raw_fish_dishes,0.0012489182514722333,3,3
Walter_Scott,0.0012489182514722333,3,3
Thomas_Langlois_Lefroy,0.0012489182514722333,3,4
Timeline_of_Jane_Austen,0.0012489182514722333,3,3
Tobiko,0.0012489182514722333,3,3
Toyosu_Market,0.0012489182514722333,3,3
Trawling,0.0012489182514722333,3,3
The_Scarlet_Letter,0.0012489182514722333,3,4
The_Watsons,0.0012489182514722333,3,3
Theory,0.0012489182514722333,3,3
Barbie,0.0012489182514722333,3,3
Becoming_Jane,0.0012489182514722333,3,3
Beluga_caviar,0.0012489182514722333,3,3
Austenland,0.0012489182514722333,3,3
Austenland_(film),0.0012489182514722333,3,3
Australian_Broadcasting_Corporation,0.0012489182514722333,3,4
Azerbaijan,0.0012489182514722333,3,4
BBC,0.0012489182514722333,3,4
Bottarga,0.0012489182514722333,3,3
Bottom_trawling,0.0012489182514722333,3,3
Bride_and_Prejudice,0.0012489182514722333,3,3
Bennet_(surname),0.0012489182514722333,4,3
Bernard_J._Taylor,0.0012489182514722333,3,3
Bernie_Su,0.0012489182514722333,3,3
Beyond_a_Joke_(Red_Dwarf),0.0012489182514722333,3,3
Billingsgate_Fish_Market,0.0012489182514722333,3,3
Aquaculture_in_Canada,0.0012489182514722333,3,3
Aquaculture_in_China,0.0012489182514722333,3,3
Aquaculture_in_Fiji,0.0012489182514722333,3,3
Aquaculture_in_Indonesia,0.0012489182514722333,3,3
Black-eyed_pea,0.0012489182514722333,3,3
Black_Sea,0.0012489182514722333,3,4
Black_caviar_(disambiguation),0.0012489182514722333,4,3
Bloomberg_News,0.0012489182514722333,3,3
Butter,0.0012489182514722333,3,3
Bycatch,0.0012489182514722333,3,3
Byzantine_Empire,0.0012489182514722333,3,4
CITES,0.0012489182514722333,3,4
Brine,0.0012489182514722333,3,3
British_Columbia,0.0012489182514722333,3,4
Broodstock,0.0012489182514722333,3,3
Burbot,0.0012489182514722333,3,4
Carbohydrate,0.0012489182514722333,3,4
Carl_Davis,0.0012489182514722333,3,3
Carp,0.0012489182514722333,3,3
Calorie,0.0012489182514722333,3,3
Cambridge_University_Press,0.0012489182514722333,3,3
Canada,0.0012489182514722333,3,4
Canned_fish,0.0012489182514722333,3,4
Busan_Cooperative_Fish_Market,0.0012489182514722333,3,4
"The_History_of_Tom_Jones,_a_Foundling",0.0012489182514722333,3,3
The_Lizzie_Bennet_Diaries,0.0012489182514722333,3,3
The_Lord_of_the_Rings,0.0012489182514722333,3,3
The_Morning_Chronicle,0.0012489182514722333,3,3
The_New_York_Times,0.0012489182514722333,3,4
The_A.V._Club,0.0012489182514722333,3,3
The_Beautifull_Cassandra,0.0012489182514722333,3,3
Capelin,0.0012489182514722333,3,3
Theory_of_everything,0.0012489182514722333,3,3
Theory_of_everything_(philosophy),0.0012489182514722333,3,3
These_Three_Remain,0.0012489182514722333,3,3
Thiago_Lacerda,0.0012489182514722333,3,3
Thomas_Egerton_(publisher),0.0012489182514722333,3,4
The_Big_Read,0.0012489182514722333,3,3
The_Daily_Telegraph,0.0012489182514722333,3,3
The_History_of_England_(Austen),0.0012489182514722333,3,3
State_monopoly,0.0012489182514722333,3,3
Shrimp_fishery,0.0012489182514722333,3,3
Shrimp_paste,0.0012489182514722333,3,3
Slurry_ice,0.0012489182514722333,3,3
Small_talk,0.0012489182514722333,3,3
Smoked_fish,0.0012489182514722333,3,3
Social_graces,0.0012489182514722333,4,3
Seth_Grahame-Smith,0.0012489182514722333,3,3
Surimi,0.0012489182514722333,3,3
Susannah_Fullerton,0.0012489182514722333,3,3
Something_(concept),0.0012489182514722333,3,3
Sophie_Thompson,0.0012489182514722333,3,3
Spawning_bed,0.0012489182514722333,3,3
Spherification,0.0012489182514722333,3,4
Squid_as_food,0.0012489182514722333,3,3
Standard_Ebooks,0.0012489182514722333,3,3
